Id	ChapterId	Name	Rule	NeedKeyNum	FloorNum	Image	Rule	Kind	Info	StagePrefab	Bgm	Story	EnemyNum	FieldSize	EncountMapId	Feature	NextIds
																特徴（FEATURE）	
1	1	少年は空を目指す	GET_KEY_AND_GOAL	2	5	ForestIcon	0	0	少年は地上に続く塔へと挑む。そこに望むものがあると信じて。	ClassRoomStage	PerituneMaterial_Prairie3_loop		0	3	1	1	2
2	1	悪魔と呼ばれるモノ	GET_KEY_AND_GOAL	2	5	ForestIcon	0	0	空へと目指す少年の前に、悪魔と呼ばれる異形の戦士が立ちふさがる。	ClassRoomStage	PerituneMaterial_Prairie3_loop		3	3	1		3
3	1	剣士達の戦い	GET_KEY_AND_GOAL	2	5	ForestIcon	0	0	少年剣士と悪魔の剣士との戦いは続く。打ち鳴らされる剣戟。	ClassRoomStage	PerituneMaterial_Prairie3_loop		3	3	1		4
4	1	実戦こそ最高の師	GET_KEY_AND_GOAL	2	5	ForestIcon	0	0	命がけの戦いが少年を急成長させていく。たとえそれが望まぬ師であったとしても。	ClassRoomStage	PerituneMaterial_Prairie3_loop		3	3	1		5
5	1	閉ざされた門	GET_KEY_AND_GOAL	2	5	ForestIcon	1	0	少年の道を巨大な門が閉ざす。必要なカギを見つけ出し、突破するのだ！	ClassRoomStage	PerituneMaterial_Prairie3_loop		3	3	1		6
6	1	剣と銃	GET_KEY_AND_GOAL	2	5	ForestIcon	0	0	失われた技術、銃。間合いを必要としないその武器を持った悪魔が襲い掛かる。	ClassRoomStage	PerituneMaterial_Prairie3_loop		3	3	1		7
7	1	混成部隊	GET_KEY_AND_GOAL	2	5	ForestIcon	0	0	剣と銃の悪魔が同時に襲い掛かる。かつてない連携を破ることができるか。	ClassRoomStage	PerituneMaterial_Prairie3_loop		3	3	1		8
8	1	剣と魔法と銃弾と	GET_KEY_AND_GOAL	2	5	ForestIcon	0	0	少年の剣と魔法。そして悪魔の剣と銃。勝利だけが強者の証明。	ClassRoomStage	PerituneMaterial_Prairie3_loop		3	3	1		9
9	1	試練の門	GET_KEY_AND_GOAL	2	5	ForestIcon	0	0	少年は確信した。この大きな門の先に、これまでとは違う何かが待ち受けていることを。	ClassRoomStage	PerituneMaterial_Prairie3_loop		3	3	1		10
10	1	試される資質	GET_KEY_AND_GOAL	2	5	ForestIcon	0	1	今までとは違う、大型の悪魔との対決。これは試金石…空へと挑む者達への。	ClassRoomStage	BossBattle		3	3	1		11
11	2	レイン	GET_KEY_AND_GOAL	2	5	StoneDungeonIcon	0	2	彼の名はレイン。高潔な騎士にして、少年の師であり兄弟子。	ClassRoomStage		Story_1	3	3	1		12
12	2	悪魔の一刺し	GET_KEY_AND_GOAL	2	5	StoneDungeonIcon	0	0	強力な炎を吐き出す魔のサソリ。その炎は金属さえも蒸発させる。	ClassRoomStage	bgm_0510mp		3	3	1		13
13	2	悪魔の散歩	GET_KEY_AND_GOAL	2	5	StoneDungeonIcon	0	0	魔のサソリを連れた悪魔の剣士。それはあたかも悪魔の散歩。	ClassRoomStage	bgm_0510mp		3	3	1		14
14	2	混成部隊２	GET_KEY_AND_GOAL	2	5	StoneDungeonIcon	0	0	剣と銃とサソリの悪魔が同時に襲い掛かる。混沌とした戦場を制せよ！	ClassRoomStage	bgm_0510mp		3	3	1		15
15	2	太古の医療器具	GET_KEY_AND_GOAL	2	5	StoneDungeonIcon	1	0	妹の病状が悪化し、発作を起こした。吸入器を集め、彼女の元へ戻るのだ！	ClassRoomStage	bgm_0510mp		3	3	1		16
16	2	自爆者の憂鬱	GET_KEY_AND_GOAL	2	5	StoneDungeonIcon	0	0	迷うな。迷えば自爆者の道連れとなってしまうだろう。	ClassRoomStage	bgm_0510mp		3	3	1		17
17	2	刃・弾・炎・爆	GET_KEY_AND_GOAL	2	5	StoneDungeonIcon	0	0	襲い来る悪魔のカルテット。その剣で連携を絶て！	ClassRoomStage	bgm_0510mp		3	3	1		18
18	2	傷だらけの道を行く	GET_KEY_AND_GOAL	2	5	StoneDungeonIcon	0	0	悪魔の攻撃は激しさを増す。けれど、行かねばならない。その先へ。	ClassRoomStage	bgm_0510mp		3	3	1		19
19	2	第二の門	GET_KEY_AND_GOAL	2	5	StoneDungeonIcon	0	0	第二の試練を予感させる巨大な門。守り手たる悪魔たちを蹴散らし、進むのだ。	ClassRoomStage	bgm_0510mp		3	3	1		20
